,expr,arity,inputs,outputs
109,"C(R(P(1, 1), C(P(1, 1), P(2, 1)), Z()), C(R(P(2, 2), P(3, 1), C(P(2, 2), P(3, 2), P(3, 2)), Z(), Z()), P(4, 3)))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(0, 4, 2, 0, 0)"
110,"C(R(R(P(2, 2), P(3, 1), P(3, 2), Z(), Z()), P(2, 1), Z()), P(4, 2))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(0, 3, 0, 0, 0)"
111,"C(S(), C(S(), P(4, 4)))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(12, 10, 8, 5, 8)"
112,"C(R(C(P(3, 1), P(2, 1), P(2, 2), Z()), C(P(3, 3), P(3, 3), Z(), P(3, 3)), C(S(), P(3, 2)), Z(), Z()), C(P(3, 2), C(P(2, 2), P(4, 1), P(4, 2)), P(4, 3), Z()))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(1, 3, 2, 1, 0)"
113,"C(R(P(2, 2), P(3, 1), P(3, 2), Z(), Z()), C(R(P(2, 2), P(3, 1), P(3, 2), Z(), Z()), P(4, 1)))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(2, 0, 2, 0, 4)"
114,"C(R(C(S(), P(2, 2)), P(3, 3), C(C(S(), P(2, 2)), P(3, 2), P(3, 2)), Z(), Z()), P(4, 2))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(2, 4, 2, 2, 3)"
115,Z(),,"((0,), (0,), (0,), (0,), (0,))","(0, 0, 0, 0, 0)"
116,"C(P(1, 1), C(S(), Z()))",,"((0,), (0,), (0,), (0,), (0,))","(1, 1, 1, 1, 1)"
117,"C(S(), C(C(C(R(R(S(), P(2, 1), Z()), P(2, 2), Z()), C(C(P(3, 2), P(2, 2), Z(), P(2, 1)), P(3, 1), C(P(3, 1), P(3, 1), P(3, 3), P(3, 1)))), Z(), P(2, 2), Z()), C(R(P(1, 1), P(2, 2), Z()), C(S(), Z())), C(P(2, 2), Z(), C(P(1, 1), Z()))))",,"((0,), (0,), (0,), (0,), (0,))","(2, 2, 2, 2, 2)"
118,"C(P(3, 1), C(S(), C(S(), C(R(R(S(), P(2, 2), Z()), P(2, 1), Z()), Z()))), C(C(P(2, 1), P(2, 1), P(2, 2)), C(R(R(S(), P(2, 2), Z()), P(2, 1), Z()), Z()), C(S(), C(R(R(S(), P(2, 2), Z()), P(2, 1), Z()), Z()))), C(S(), C(S(), C(R(R(S(), P(2, 2), Z()), P(2, 1), Z()), Z()))))",,"((0,), (0,), (0,), (0,), (0,))","(3, 3, 3, 3, 3)"
119,"C(S(), C(C(C(P(2, 1), P(2, 1), Z()), P(3, 3), Z()), C(R(P(2, 2), C(P(3, 3), P(3, 1), P(3, 3), P(3, 2)), P(3, 2), Z(), Z()), C(S(), C(C(P(1, 1), S()), Z()))), C(R(P(2, 2), C(P(3, 3), P(3, 1), P(3, 3), P(3, 2)), P(3, 2), Z(), Z()), Z()), C(S(), C(S(), C(C(P(1, 1), S()), Z())))))",,"((0,), (0,), (0,), (0,), (0,))","(4, 4, 4, 4, 4)"
120,"C(C(S(), S()), C(C(P(2, 1), P(3, 3), Z()), C(P(2, 1), C(C(S(), S()), Z()), C(C(C(P(3, 2), P(2, 1), P(2, 2), Z()), P(3, 3), Z()), C(P(1, 1), Z()), C(C(S(), S()), C(S(), C(P(1, 1), Z()))), C(S(), C(S(), C(P(1, 1), Z()))))), C(S(), C(S(), C(P(1, 1), Z()))), C(C(S(), S()), C(S(), C(P(1, 1), Z())))))",,"((0,), (0,), (0,), (0,), (0,))","(5, 5, 5, 5, 5)"
121,"C(C(S(), S()), C(R(P(1, 1), P(2, 1), Z()), C(S(), C(C(S(), S()), C(R(C(S(), S()), P(2, 1), Z()), Z())))))",,"((0,), (0,), (0,), (0,), (0,))","(6, 6, 6, 6, 6)"
122,"C(C(S(), S()), C(S(), C(C(S(), S()), C(R(C(S(), S()), P(2, 1), Z()), Z()))))",,"((0,), (0,), (0,), (0,), (0,))","(7, 7, 7, 7, 7)"
