SPF,valid,depth,inputs,outputs
"C(R(C(S(), Z()), R(Z(), P(3, 3))), R(C(S(), Z()), R(S(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"C(R(C(S(), Z()), R(S(), P(3, 1))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 1, 2, 0, 1, 2, 3, 4, 5]"
"C(C(C(S(), S()), C(S(), S())), C(S(), Z()))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"C(C(C(S(), S()), S()), R(C(S(), Z()), R(Z(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 3, 3, 4, 5, 6, 7, 8, 9, 10]"
"R(C(C(S(), S()), C(S(), Z())), R(C(S(), S()), P(3, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 5, 0, 1, 2, 3, 4, 5, 6, 7]"
"C(R(C(S(), Z()), R(S(), P(3, 3))), R(C(S(), Z()), R(Z(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 1, 2, 2, 2, 2, 2, 2, 2]"
"R(C(C(S(), S()), Z()), C(S(), R(S(), P(3, 3))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
"C(R(C(S(), Z()), P(2, 1)), R(C(S(), Z()), R(P(1, 1), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 1, 0, 1, 2, 3, 4, 5, 6]"
"R(C(C(S(), S()), Z()), R(P(1, 1), C(S(), P(3, 2))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 2, 3, 5, 8, 12, 17, 23, 30, 38]"
"C(C(C(S(), S()), R(Z(), P(2, 1))), R(C(S(), Z()), R(S(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 3, 2, 2, 3, 4, 5, 6, 7, 8]"
"C(C(S(), S()), R(C(S(), Z()), R(P(1, 1), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 3, 2, 3, 4, 5, 6, 7, 8, 9]"
"R(C(C(S(), S()), C(S(), Z())), P(2, 1))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 0, 1, 2, 3, 4, 5, 6, 7, 8]"
"R(C(C(S(), S()), C(S(), Z())), C(S(), R(Z(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 1, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(C(R(Z(), P(2, 1)), R(Z(), P(2, 1))), R(Z(), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 0, 0, 1, 2, 3, 4, 5, 6]"
"R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), P(2, 2)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 5, 7, 9, 11, 13, 15, 17, 19, 21]"
"R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), C(S(), P(2, 2))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]"
"C(S(), R(C(S(), Z()), R(S(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 3, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(R(C(S(), Z()), R(Z(), P(3, 3))), R(C(S(), Z()), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"C(C(S(), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 1, 1, 2, 3, 4, 5, 6, 7]"
"R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), R(P(1, 1), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 5, 2, 3, 4, 5, 6, 7, 8, 9]"
"C(C(C(S(), S()), S()), R(C(S(), Z()), R(S(), P(3, 3))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"C(C(S(), S()), R(C(S(), Z()), R(Z(), P(3, 3))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
