,expr,arity,inputs,outputs,len_expr
1229,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), C(S(), P(3, 3)), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), Z(), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 1, 1, 1, 3, 3, 5, 5, 7]",120
1250,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), C(S(), P(3, 3)), R(P(2, 1), P(5, 3), P(5, 2), P(2, 1), P(2, 2)), Z(), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 0, 1, 2, 3, 2, 3, 4, 5]",120
1276,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), C(S(), P(3, 1)), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), Z(), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 2, 0, 2, 2, 4, 4, 6, 6]",120
1317,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), C(S(), P(3, 1)), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), Z(), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 2, 1, 4, 3, 6, 5, 8, 7]",120
1454,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), P(3, 1), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 1, 2, 3, 3, 5, 5, 7, 7, 9]",120
1476,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), P(3, 2), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 1, 1, 1, 0, 2, 2, 4, 4, 6]",120
1481,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), P(3, 2), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 1, 2, 0, 2, 2, 4, 4, 6]",120
1517,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), C(S(), P(3, 1)), Z(), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 3, 4, 4, 6, 6, 8, 8, 10]",120
1542,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), C(S(), P(3, 2)), Z(), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 2, 2, 1, 3, 3, 5, 5, 7]",120
2074,"R(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), P(3, 1), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 1, 3, 4, 5, 6, 7, 8, 9]",120
2152,"R(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), C(S(), P(3, 2)), Z(), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 1, 2, 3, 2, 3, 4, 5, 4]",120
2340,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), P(3, 3), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 0, 2, 0, 2, 2, 4, 4, 6, 6]",120
2343,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), P(3, 3), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 2, 0, 1, 2, 2, 4, 4, 6, 6]",120
2555,"R(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), P(3, 1), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 1, 0, 2, 2, 4, 4, 6, 6]",120
2569,"R(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), P(3, 1), R(P(2, 1), P(5, 3), P(5, 2), P(2, 1), P(2, 2)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 1, 1, 2, 3, 4, 5, 6, 7]",120
2583,"R(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), P(3, 1), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 1, 0, 3, 2, 5, 4, 7, 6]",120
2585,"R(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), P(3, 1), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 1, 0, 3, 2, 5, 4, 7, 6]",120
2686,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), P(3, 1), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 1, 0, 1, 1, 3, 3, 5, 5, 7]",120
2692,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), P(3, 1), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 2, 0, 1, 1, 3, 3, 5, 5, 7]",120
2703,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), P(3, 1), R(P(2, 1), P(5, 3), P(5, 2), P(2, 1), P(2, 2)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 1, 0, 2, 1, 4, 3, 6, 5, 8]",120
2707,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), P(3, 1), R(P(2, 1), P(5, 3), P(5, 2), P(2, 1), P(2, 2)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 2, 1, 2, 1, 4, 3, 6, 5, 8]",120
2852,"R(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), P(3, 1), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 1, 2, 4, 4, 6, 6, 8, 8]",120
2874,"R(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), P(3, 2), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 0, 0, 1, 1, 3, 3, 5, 5]",120
2880,"R(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), P(3, 2), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 2, 1, 1, 1, 3, 3, 5, 5]",120
2906,"R(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), C(S(), P(3, 1)), Z(), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 2, 3, 5, 5, 7, 7, 9, 9]",120
2928,"R(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), C(S(), P(3, 2)), Z(), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 1, 1, 2, 2, 4, 4, 6, 6]",120
3064,"R(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), R(P(2, 1), P(5, 3), P(5, 2), P(2, 1), P(2, 2)), C(S(), P(3, 1)), Z(), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 3, 4, 5, 6, 7, 8, 9, 10]",120
2391,"C(R(P(2, 1), P(4, 3), P(4, 1), S(), S()), R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()), R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 1, 2, 0, 1, 2, 3, 4, 5]",121
1246,"R(C(S(), P(2, 1)), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), R(P(1, 1), P(4, 1), P(2, 1)), C(S(), Z()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 2, 1, 1, 3, 3, 5, 5, 7]",122
143,"R(R(P(1, 1), P(3, 1), S()), R(P(1, 1), P(4, 1), P(2, 1)), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 1, 0, 1, 2, 3, 4, 5, 6]",123
270,"R(R(P(1, 1), P(3, 1), S()), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), R(P(1, 1), P(4, 1), P(2, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 1, 1, 2, 0, 1, 2, 3, 4, 5]",123
1399,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), R(P(1, 1), P(4, 1), P(2, 1)), R(P(1, 1), P(4, 1), P(2, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 1, 1, 1, 3, 3, 5, 5, 7, 7]",123
2537,"R(R(P(1, 1), P(3, 1), S()), R(P(2, 1), P(5, 3), P(5, 2), P(2, 1), P(2, 2)), R(P(1, 1), P(4, 1), P(2, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 1, 1, 2, 0, 0, 2, 2, 4, 4]",123
2666,"R(R(P(1, 1), P(3, 1), S()), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), R(P(1, 1), P(4, 1), P(2, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 0, 0, 2, 3, 1, 1, 3, 3, 5]",123
2670,"R(R(P(1, 1), P(3, 1), S()), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), R(P(1, 1), P(4, 1), P(2, 1)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 2, 1, 2, 3, 1, 1, 3, 3, 5]",123
49,"R(R(P(2, 1), P(4, 3), P(4, 1), S(), S()), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), P(3, 2), C(S(), Z()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 2, 2, 1, 0, 1, 2, 3, 4]",124
65,"R(R(P(2, 1), P(4, 3), P(4, 1), S(), S()), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), C(S(), P(3, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 3, 4, 5, 0, 1, 2, 3, 4]",124
81,"R(R(P(2, 1), P(4, 3), P(4, 1), S(), S()), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), C(S(), P(3, 2)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 3, 3, 3, 2, 0, 1, 2, 3, 4]",124
89,"R(R(P(2, 1), P(4, 3), P(4, 1), S(), S()), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), C(S(), P(3, 3)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 3, 4, 5, 6, 0, 1, 2, 3, 4]",124
227,"R(R(P(2, 1), P(4, 3), P(4, 1), S(), S()), R(P(2, 1), P(5, 3), P(5, 2), P(2, 1), P(2, 2)), C(S(), P(3, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 3, 4, 1, 1, 3, 3, 5, 5]",124
245,"R(R(P(2, 1), P(4, 3), P(4, 1), S(), S()), R(P(2, 1), P(5, 3), P(5, 2), P(2, 1), P(2, 2)), C(S(), P(3, 2)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 2, 3, 0, 0, 1, 1, 2, 2]",124
249,"R(R(P(2, 1), P(4, 3), P(4, 1), S(), S()), R(P(2, 1), P(5, 3), P(5, 2), P(2, 1), P(2, 2)), C(S(), P(3, 2)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 3, 0, 0, 1, 1, 2, 2, 3, 3]",124
260,"R(R(P(2, 1), P(4, 3), P(4, 1), S(), S()), R(P(2, 1), P(5, 3), P(5, 2), P(2, 1), P(2, 2)), C(S(), P(3, 3)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 3, 0, 0, 2, 2, 4, 4, 6, 6]",124
513,"R(R(P(2, 1), P(4, 3), P(4, 1), S(), S()), C(S(), P(3, 3)), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 0, 3, 1, 2, 0, 1, 2, 3, 4]",124
518,"R(R(P(2, 1), P(4, 3), P(4, 1), S(), S()), C(S(), P(3, 3)), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 0, 0, 2, 0, 1, 2, 3, 4]",124
529,"R(R(P(2, 1), P(4, 3), P(4, 1), S(), S()), C(S(), P(3, 3)), R(P(2, 1), P(5, 3), P(5, 2), P(2, 1), P(2, 2)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 0, 1, 2, 0, 0, 1, 1, 2, 2]",124
728,"R(P(2, 1), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 1, 1, 1, 1, 1, 3, 3, 5]",124
734,"R(P(2, 1), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 0, 0, 0, 1, 1, 3, 3, 5]",124
753,"R(P(2, 1), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), R(P(2, 1), P(5, 3), P(5, 2), P(2, 1), P(2, 2)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1]",124
759,"R(P(2, 1), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), R(P(2, 1), P(5, 3), P(5, 2), P(2, 1), P(2, 2)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 0, 1, 1, 0, 0, 1, 1, 0]",124
1252,"R(C(S(), P(2, 1)), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), Z(), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 1, 1, 1, 2, 2, 4, 4, 6]",124
1291,"R(R(P(2, 1), P(4, 3), P(4, 1), S(), S()), P(3, 3), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), C(S(), Z()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 2, 1, 2, 3, 0, 1, 2, 3]",124
1465,"R(P(2, 1), R(P(2, 1), P(5, 3), P(5, 2), P(2, 1), P(2, 2)), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 1, 1, 0, 0, 2, 2, 4, 4]",124
1498,"R(P(2, 1), R(P(2, 1), P(5, 3), P(5, 2), P(2, 1), P(2, 2)), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 0, 1, 1, 0, 0, 1, 1, 0, 0]",124
1504,"R(P(2, 1), R(P(2, 1), P(5, 3), P(5, 2), P(2, 1), P(2, 2)), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 0, 0, 1, 1, 0, 0, 1, 1]",124
1808,"R(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), C(S(), Z()), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 1, 1, 2, 1, 2, 1, 2, 1]",124
1873,"R(P(2, 2), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 0, 0, 0, 0, 2, 2, 4, 4]",124
1877,"R(P(2, 2), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 0, 1, 1, 0, 0, 2, 2, 4, 4]",124
2056,"R(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), Z(), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), C(S(), Z()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 1, 0, 0, 1, 2, 3, 4, 5, 6]",124
2073,"R(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), Z(), R(P(2, 1), P(5, 3), P(5, 2), P(2, 1), P(2, 2)), C(S(), Z()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 1, 1, 0, 0, 0, 0, 0, 0, 0]",124
2490,"R(R(P(2, 1), P(4, 3), P(4, 1), S(), S()), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), C(S(), P(3, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 3, 0, 0, 2, 2, 4, 4, 6]",124
2513,"R(R(P(2, 1), P(4, 3), P(4, 1), S(), S()), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), C(S(), P(3, 2)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 3, 2, 2, 3, 0, 0, 1, 1, 2]",124
2524,"R(R(P(2, 1), P(4, 3), P(4, 1), S(), S()), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), C(S(), P(3, 3)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 3, 4, 1, 1, 3, 3, 5, 5, 7]",124
2620,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), Z(), C(S(), Z()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 0, 1, 0, 1, 0, 1, 0, 1]",124
2630,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), C(S(), Z()), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 2, 2, 1, 2, 1, 2, 1, 2]",124
2634,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), C(S(), Z()), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 1, 2, 1, 2, 1, 2, 1, 2]",124
3006,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), C(S(), Z()), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 0, 1, 0, 1, 2, 3, 4, 5, 6]",124
3025,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), C(S(), Z()), R(P(2, 1), P(5, 3), P(5, 2), P(2, 1), P(2, 2)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 0, 0, 1, 1, 1, 1, 1, 1, 1]",124
809,"C(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()), R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 1, 1, 3, 3, 5, 5, 7, 7]",125
1042,"C(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()), R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 0, 0, 2, 2, 4, 4, 6, 6, 8]",125
647,"R(R(S(), P(3, 2), S()), R(P(1, 1), P(4, 1), P(2, 1)), R(P(2, 1), P(5, 3), P(5, 2), P(2, 1), P(2, 2)), C(S(), Z()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 3, 3, 2, 2, 4, 4, 6, 6, 8]",127
656,"R(R(P(2, 1), P(4, 3), P(4, 1), S(), S()), R(P(1, 1), P(4, 1), P(2, 1)), R(P(1, 1), P(4, 1), P(2, 1)), C(S(), Z()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 1, 2, 0, 1, 2, 3, 4, 5]",127
2442,"R(R(S(), P(3, 2), S()), R(P(1, 1), P(4, 1), P(2, 1)), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), C(S(), Z()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 3, 3, 3, 3, 3, 5, 5, 7, 7]",127
48,"R(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), C(S(), P(3, 2)), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 3, 0, 2, 2, 4, 4, 6, 6]",128
71,"R(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), C(S(), P(3, 2)), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 3, 2, 5, 4, 7, 6, 9, 8]",128
187,"R(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), C(S(), P(3, 3)), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 3, 1, 2, 2, 4, 4, 6, 6]",128
195,"R(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), C(S(), P(3, 3)), R(P(2, 1), P(5, 3), P(5, 1), P(2, 1), P(2, 1)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 1, 0, 2, 2, 4, 4, 6, 6]",128
211,"R(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), C(S(), P(3, 3)), R(P(2, 1), P(5, 3), P(5, 2), P(2, 1), P(2, 2)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 1, 2, 1, 2, 3, 4, 3, 4]",128
228,"R(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), C(S(), P(3, 3)), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 2, 3, 4, 3, 4, 5, 6, 5]",128
233,"R(R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), C(S(), P(3, 3)), R(P(2, 1), P(5, 3), P(5, 2), P(2, 2), P(2, 1)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 2, 1, 2, 3, 4, 3, 4, 5]",128
365,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), R(P(2, 1), P(5, 3), P(5, 2), P(2, 1), P(2, 2)), P(3, 1), C(S(), Z()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 2, 3, 4, 5, 6, 7, 8, 9]",128
418,"R(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), R(P(2, 1), P(5, 3), P(5, 2), P(2, 1), P(2, 2)), C(S(), P(3, 2)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 1, 2, 3, 4, 3, 4, 5, 6]",128
