,expr,inputs,outputs,len,arity
2019,"R(R(C(C(S(), S()), C(S(), S())), C(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(3, 1), S())), C(S(), Z())), C(R(C(S(), S()), R(P(1, 1), P(3, 1), S()), C(S(), Z())), C(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()))), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(5, 5, 5, 5, 4, 4, 5, 6, 7, 8)",215,1.0
2020,"R(R(C(S(), S()), C(S(), R(S(), P(3, 2), S())), C(C(S(), S()), C(S(), Z()))), R(C(S(), S()), C(C(S(), S()), C(S(), P(3, 2))), C(C(S(), S()), C(S(), S()))), C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), Z()))))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(26, 44, 71, 107, 152, 206, 269, 341, 422, 512)",215,1.0
2021,"R(C(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), C(R(P(1, 1), P(2, 1), Z()), P(3, 2))), P(4, 2), P(4, 1), P(4, 3), C(S(), C(S(), Z())), C(C(S(), S()), C(S(), Z())), C(C(S(), C(S(), S())), C(C(S(), S()), C(S(), Z()))))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(6, 2, 2, 4, 6, 8, 10, 12, 14, 16)",215,1.0
2022,"R(R(R(P(1, 1), P(2, 1), Z()), C(S(), R(S(), P(3, 2), S())), Z()), C(R(C(S(), S()), P(2, 1), C(S(), Z())), R(P(1, 1), P(3, 1), S())), C(R(C(S(), S()), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), Z()))))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(26, 32, 8, 5, 8, 11, 14, 17, 20, 23)",215,1.0
2023,"R(R(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), P(3, 2))), R(S(), R(S(), P(3, 2), S()), Z())), C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), P(3, 1)))), C(S(), C(S(), P(3, 3))), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(4, 54, 68, 82, 96, 110, 124, 138, 152, 166)",215,1.0
2024,"C(R(S(), C(R(P(1, 1), P(2, 1), Z()), P(2, 2)), C(C(S(), S()), C(S(), Z()))), R(R(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), C(S(), Z())), C(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S())), C(S(), C(S(), Z()))))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 3, 2, 2, 3, 3, 2, 1, 1, 1)",215,1.0
2025,"R(C(R(C(S(), S()), R(P(1, 1), P(3, 1), S()), C(S(), Z())), R(P(1, 1), R(P(1, 1), P(3, 1), S()), C(S(), Z()))), C(R(C(S(), S()), R(P(1, 1), P(3, 1), S()), Z()), R(P(1, 1), P(3, 1), S())), C(C(S(), S()), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(4, 2, 3, 4, 3, 4, 2, 3, 4, 5)",215,1.0
2026,"R(C(C(R(S(), P(2, 1), Z()), R(P(1, 1), P(2, 1), Z())), C(R(P(1, 1), P(2, 1), Z()), P(3, 2))), P(4, 4), P(4, 2), P(4, 3), C(C(S(), C(S(), S())), C(C(S(), S()), C(S(), Z()))), Z(), C(S(), C(C(S(), S()), C(S(), Z()))))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 4, 2, 1, 4, 2, 1, 4, 2, 1)",215,1.0
2027,"R(C(R(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), C(S(), Z())), C(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(2, 1), Z()))), R(C(S(), S()), C(R(P(1, 1), P(2, 1), Z()), P(3, 2)), C(S(), S())), C(S(), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 4, 6, 7, 7, 6, 4, 1, 0)",215,1.0
2028,"C(R(R(C(S(), S()), R(S(), P(3, 2), S()), C(S(), Z())), R(S(), C(S(), P(3, 2)), S()), C(C(S(), S()), C(S(), Z()))), C(R(C(S(), S()), P(2, 1), C(S(), Z())), R(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(27, 27, 27, 27, 19, 27, 37, 49, 63, 79)",215,1.0
2029,"R(C(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), C(R(P(1, 1), P(2, 1), Z()), P(3, 1))), P(4, 4), P(4, 3), P(4, 1), C(C(S(), C(S(), S())), C(C(S(), S()), C(S(), Z()))), C(S(), C(C(S(), S()), C(S(), Z()))), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(12, 2, 2, 2, 4, 6, 8, 10, 12, 14)",215,1.0
2030,"C(C(C(S(), S()), R(C(S(), S()), R(P(1, 1), P(3, 1), S()), C(S(), Z()))), R(R(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), C(S(), Z())), R(P(1, 1), C(S(), P(3, 2)), R(P(1, 1), P(2, 1), Z())), C(S(), C(S(), Z()))))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(6, 4, 4, 6, 4, 7, 11, 16, 22, 29)",215,1.0
2031,"C(R(C(S(), C(S(), S())), R(S(), C(S(), P(3, 2)), R(P(1, 1), P(2, 1), Z())), C(C(S(), S()), C(S(), Z()))), R(R(S(), R(S(), P(3, 2), S()), Z()), C(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S())), C(S(), C(S(), Z()))))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(16, 27, 9, 9, 16, 27, 42, 61, 84, 111)",215,1.0
2032,"R(C(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), P(3, 2)), P(4, 4), P(4, 4), P(4, 4), C(C(S(), S()), C(C(S(), S()), C(S(), Z()))), C(R(C(S(), S()), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), Z()))), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(20, 2, 2, 2, 2, 2, 2, 2, 2, 2)",216,1.0
2033,"C(C(R(S(), R(P(1, 1), P(3, 1), S()), C(S(), Z())), C(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(2, 1), Z()))), C(C(R(S(), P(2, 1), Z()), R(P(1, 1), P(2, 1), Z())), R(R(P(1, 1), P(2, 1), Z()), R(S(), P(3, 2), S()), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 2, 2, 1, 3, 5, 7, 9, 11, 13)",216,1.0
2034,"C(R(C(S(), S()), C(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(3, 1), S())), C(S(), Z())), C(R(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), C(S(), Z())), R(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 3, 3, 3, 3, 3, 3, 3, 2, 2)",216,1.0
2035,"R(R(R(S(), R(P(1, 1), P(3, 1), S()), Z()), R(P(1, 1), C(S(), P(3, 2)), R(P(1, 1), P(2, 1), Z())), C(S(), C(S(), Z()))), C(R(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), C(S(), Z())), P(2, 1)), C(S(), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 2, 2, 2, 2, 2, 1, 3, 6, 10)",216,1.0
2036,"R(C(C(C(S(), S()), R(S(), P(2, 1), Z())), C(R(P(1, 1), P(2, 1), Z()), P(3, 3))), P(4, 1), P(4, 3), P(4, 1), Z(), C(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), Z()))), C(C(S(), S()), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(4, 3, 3, 3, 4, 5, 6, 7, 8, 9)",216,1.0
2037,"C(R(R(R(S(), P(2, 1), Z()), R(S(), P(3, 2), S()), Z()), R(P(1, 1), P(3, 1), S()), C(C(S(), S()), C(S(), Z()))), R(R(P(1, 1), R(P(1, 1), P(3, 1), S()), Z()), C(R(P(1, 1), P(2, 1), Z()), P(2, 2)), C(S(), C(S(), Z()))))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(6, 8, 6, 6, 6, 6, 6, 6, 6, 6)",216,1.0
2038,"R(C(S(), P(3, 2)), P(4, 3), P(4, 2), P(4, 2), C(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), Z()))), C(R(C(S(), S()), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), Z()))), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(10, 9, 10, 9, 10, 9, 10, 9, 10, 9)",216,1.0
2039,"R(C(R(S(), R(S(), P(3, 2), S()), Z()), P(3, 3)), P(4, 2), P(4, 4), P(4, 3), C(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), Z()))), C(C(S(), C(S(), S())), C(C(S(), S()), C(S(), Z()))), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 13, 3, 13, 3, 13, 3, 13, 3, 13)",216,1.0
2040,"R(C(R(S(), P(2, 1), C(S(), Z())), C(R(P(1, 1), P(2, 1), Z()), P(3, 3))), P(4, 4), P(4, 2), P(4, 3), C(R(C(S(), S()), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), Z()))), C(S(), C(S(), Z())), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 1, 8, 2, 1, 8, 2, 1, 8, 2)",216,1.0
2041,"R(C(R(C(S(), S()), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), P(3, 3)))), P(4, 3), P(4, 4), P(4, 3), C(S(), Z()), C(R(C(S(), S()), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), Z()))), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(9, 27, 9, 27, 9, 27, 9, 27, 9, 27)",216,1.0
2042,"C(R(R(R(P(1, 1), P(2, 1), Z()), R(S(), P(3, 2), S()), Z()), C(R(P(1, 1), P(2, 1), Z()), P(2, 2)), C(C(S(), S()), C(S(), Z()))), C(R(S(), P(2, 1), C(S(), Z())), R(R(P(1, 1), P(2, 1), Z()), R(S(), P(3, 2), S()), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 3, 0, 0, 0, 0, 0, 0, 0, 0)",216,1.0
2043,"C(R(R(R(S(), P(2, 1), Z()), R(S(), P(3, 2), S()), Z()), C(C(S(), S()), R(S(), P(3, 2), S())), Z()), R(R(S(), R(P(1, 1), P(3, 1), S()), C(S(), Z())), C(R(P(1, 1), P(2, 1), Z()), P(2, 2)), C(C(S(), S()), C(S(), Z()))))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(16, 8, 24, 16, 16, 16, 16, 16, 16, 16)",216,1.0
2044,"R(C(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), P(3, 1)), P(4, 3), P(4, 2), P(4, 2), C(C(S(), S()), C(C(S(), S()), C(S(), Z()))), Z(), C(R(C(S(), S()), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), Z()))))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(12, 2, 12, 2, 12, 2, 12, 2, 12, 2)",216,1.0
2045,"R(C(R(S(), R(S(), P(3, 2), S()), Z()), C(C(S(), S()), C(S(), P(3, 2)))), P(4, 4), P(4, 2), P(4, 1), Z(), C(C(S(), S()), C(S(), Z())), C(R(C(S(), S()), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), Z()))))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(13, 7, 25, 7, 9, 11, 13, 15, 17, 19)",216,1.0
2046,"R(R(R(R(S(), P(2, 1), Z()), R(S(), P(3, 2), S()), Z()), C(R(P(1, 1), P(2, 1), Z()), P(2, 2)), C(C(S(), S()), C(S(), Z()))), C(R(S(), P(2, 1), C(S(), Z())), C(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()))), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(6, 2, 2, 2, 4, 2, 1, 1, 1, 1)",216,1.0
2047,"R(R(S(), C(S(), C(S(), P(3, 2))), R(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), Z())), C(R(S(), R(S(), P(3, 2), S()), Z()), P(3, 1)), P(3, 2), C(S(), Z()), C(C(S(), C(S(), S())), C(C(S(), S()), C(S(), Z()))))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(6, 3, 7, 11, 17, 23, 29, 35, 41, 47)",216,1.0
2048,"R(C(R(P(1, 1), R(P(1, 1), P(3, 1), S()), C(S(), Z())), C(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()))), C(S(), C(C(S(), S()), C(S(), P(3, 3)))), C(R(S(), R(P(1, 1), P(3, 1), S()), C(S(), Z())), P(3, 3)), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 1, 3, 2, 4, 3, 2, 4, 3, 2)",216,1.0
2049,"R(C(S(), C(S(), P(3, 1))), P(4, 4), P(4, 4), P(4, 3), Z(), C(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), Z()))), C(R(C(S(), S()), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), Z()))))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 11, 10, 11, 10, 11, 10, 11, 10, 11)",216,1.0
2050,"R(C(C(S(), S()), C(C(S(), S()), C(S(), P(3, 2)))), P(4, 4), C(C(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), R(S(), C(S(), P(3, 2)), C(S(), S()))), P(4, 2), C(C(S(), S()), C(S(), Z()))), P(4, 1), Z(), C(S(), Z()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(6, 19, 19, 19, 21, 23, 25, 27, 29, 31)",216,1.0
2051,"R(C(R(C(S(), S()), P(2, 1), C(S(), Z())), C(R(P(1, 1), P(2, 1), Z()), P(3, 3))), P(4, 1), P(4, 4), P(4, 2), C(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), Z()))), C(C(S(), S()), C(S(), Z())), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 8, 3, 3, 2, 3, 4, 5, 6, 7)",216,1.0
2052,"R(P(3, 1), P(4, 3), P(4, 2), P(4, 1), C(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), Z()))), C(C(S(), S()), C(S(), Z())), C(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), Z()))))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(8, 3, 8, 3, 8, 3, 8, 3, 8, 3)",216,1.0
2053,"R(R(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), P(3, 2))), S()), C(R(S(), R(P(1, 1), P(3, 1), S()), Z()), C(R(P(1, 1), P(2, 1), Z()), P(3, 2))), C(S(), C(S(), P(3, 1))), C(S(), Z()), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(12, 14, 16, 18, 20, 22, 24, 26, 28, 30)",216,1.0
2054,"C(R(R(P(1, 1), P(2, 1), Z()), C(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(3, 1), S())), C(S(), C(S(), Z()))), C(R(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), C(S(), Z())), R(P(1, 1), R(P(1, 1), P(3, 1), S()), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 0, 1, 0, 1, 1, 0, 0, 0, 1)",216,1.0
2055,"C(R(R(S(), R(S(), P(3, 2), S()), Z()), R(P(1, 1), C(S(), P(3, 2)), R(P(1, 1), P(2, 1), Z())), C(S(), Z())), R(C(C(S(), S()), C(S(), S())), R(R(P(1, 1), P(2, 1), Z()), C(S(), P(3, 2)), R(P(1, 1), P(2, 1), Z())), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(9, 9, 9, 15, 23, 45, 93, 185, 345, 603)",216,1.0
2056,"R(C(R(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), Z()), C(R(P(1, 1), P(2, 1), Z()), P(3, 3))), P(4, 4), P(4, 2), P(4, 3), C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), Z()))), C(S(), Z()), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 3, 0, 0, 3, 0, 0, 3, 0)",216,1.0
2057,"C(R(P(1, 1), C(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(3, 1), S())), C(S(), C(S(), Z()))), C(R(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), C(S(), Z())), R(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 2, 2, 2, 2, 2, 2, 0, 0, 1)",216,1.0
2058,"R(C(R(S(), P(2, 1), Z()), C(R(P(1, 1), P(2, 1), Z()), P(3, 3))), P(4, 4), P(4, 4), P(4, 3), C(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), Z()))), C(S(), Z()), C(S(), C(C(S(), S()), C(S(), Z()))))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 1, 3, 1, 3, 1, 3, 1, 3, 1)",216,1.0
2059,"R(C(R(P(1, 1), R(S(), P(3, 2), S()), Z()), C(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(2, 1), Z()))), C(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), C(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()))), C(S(), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 12, 4, 4, 8, 12, 16, 20, 24, 28)",216,1.0
2060,"C(C(R(C(S(), S()), R(P(1, 1), P(3, 1), S()), C(S(), Z())), R(P(1, 1), R(P(1, 1), P(3, 1), S()), Z())), R(R(S(), R(S(), P(3, 2), S()), Z()), C(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(3, 1), S())), C(S(), C(S(), Z()))))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 3, 4, 4, 4, 3, 5, 7, 9, 11)",216,1.0
2061,"C(R(S(), R(R(P(1, 1), P(2, 1), Z()), C(S(), P(3, 2)), R(P(1, 1), P(2, 1), Z())), C(S(), Z())), R(R(C(S(), S()), R(S(), P(3, 2), S()), C(S(), Z())), C(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(3, 1), S())), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(5, 5, 2, 2, 5, 12, 23, 38, 57, 80)",216,1.0
2062,"R(C(S(), C(C(S(), S()), R(S(), P(3, 2), S()))), C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), P(3, 1)))), C(R(P(1, 1), P(2, 1), Z()), P(3, 2)), Z(), C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), Z()))))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(12, 5, 11, 12, 13, 14, 15, 16, 17, 18)",216,1.0
2063,"R(C(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), R(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), C(S(), Z()))), C(R(P(1, 1), R(P(1, 1), P(3, 1), S()), C(S(), Z())), R(P(1, 1), P(3, 1), S())), C(S(), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 4, 4, 2, 2, 4, 2, 2, 4, 6)",216,1.0
2064,"R(C(R(C(S(), S()), R(P(1, 1), P(3, 1), S()), C(S(), Z())), C(R(S(), P(2, 1), Z()), R(P(1, 1), P(2, 1), Z()))), C(R(S(), R(P(1, 1), P(3, 1), S()), C(S(), Z())), C(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()))), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(4, 2, 2, 2, 4, 4, 2, 3, 4, 5)",216,1.0
2065,"R(C(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), C(S(), C(S(), P(3, 2)))), P(4, 3), P(4, 2), P(4, 3), C(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), Z()))), C(S(), C(S(), Z())), C(S(), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(10, 22, 10, 22, 10, 22, 10, 22, 10, 22)",216,1.0
2066,"C(R(C(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(2, 1), Z())), R(S(), C(S(), P(3, 2)), C(S(), S())), Z()), R(R(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), Z()), R(P(1, 1), P(3, 1), S()), C(C(S(), S()), C(S(), Z()))))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 5, 1, 1, 1, 1, 5, 10, 16, 23)",216,1.0
2067,"C(C(R(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), C(S(), Z())), R(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), Z())), R(P(1, 1), C(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S())), C(S(), C(S(), Z()))))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",216,1.0
2068,"R(R(C(C(S(), S()), R(S(), P(2, 1), Z())), R(S(), C(S(), P(3, 2)), C(S(), S())), Z()), R(R(P(1, 1), R(S(), P(3, 2), S()), Z()), P(3, 2), R(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), Z())), C(S(), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(9, 3, 3, 3, 3, 3, 3, 3, 3, 3)",217,1.0
2069,"R(R(C(C(S(), S()), C(S(), S())), R(S(), C(S(), P(3, 2)), R(P(1, 1), P(2, 1), Z())), C(C(S(), S()), C(S(), Z()))), R(C(S(), C(S(), S())), C(R(P(1, 1), P(2, 1), Z()), P(3, 2)), S()), C(S(), C(C(S(), S()), C(S(), Z()))))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(13, 35, 62, 85, 98, 98, 85, 62, 35, 13)",217,1.0
2070,"C(R(R(S(), R(S(), P(3, 2), S()), Z()), C(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S())), Z()), R(R(P(1, 1), R(S(), P(3, 2), S()), Z()), C(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S())), C(C(S(), S()), C(S(), Z()))))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(9, 13, 3, 3, 5, 9, 13, 17, 21, 25)",217,1.0
2071,"R(R(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), C(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S())), Z()), C(R(P(1, 1), R(P(1, 1), P(3, 1), S()), C(S(), Z())), C(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()))), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 4, 4, 4, 4, 2, 4, 4, 4, 6)",217,1.0
2072,"C(R(R(S(), R(S(), P(3, 2), S()), Z()), R(S(), C(S(), P(3, 2)), R(P(1, 1), P(2, 1), Z())), C(S(), C(S(), Z()))), C(R(S(), R(P(1, 1), P(3, 1), S()), C(S(), Z())), R(R(P(1, 1), P(2, 1), Z()), R(S(), P(3, 2), S()), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(7, 11, 7, 17, 35, 61, 95, 137, 187, 245)",217,1.0
2073,"R(C(C(C(S(), S()), C(S(), S())), R(C(S(), S()), C(S(), P(3, 2)), C(S(), S()))), C(S(), C(S(), P(3, 3))), C(R(S(), R(S(), P(3, 2), S()), Z()), C(C(S(), S()), C(S(), P(3, 2)))), C(S(), Z()), C(C(S(), S()), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(12, 22, 36, 56, 84, 124, 180, 260, 372, 532)",217,1.0
2074,"C(C(R(S(), R(S(), P(3, 2), S()), Z()), R(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), Z())), R(R(S(), R(P(1, 1), P(3, 1), S()), Z()), C(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S())), C(C(S(), S()), C(S(), Z()))))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 3, 3, 3, 3, 3, 3, 5, 7, 9)",217,1.0
2075,"R(C(R(P(1, 1), R(S(), P(3, 2), S()), Z()), C(R(P(1, 1), P(2, 1), Z()), P(3, 1))), P(4, 3), P(4, 2), P(4, 1), Z(), C(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), Z()))), C(C(S(), S()), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 14, 0, 14, 0, 14, 0, 14, 0, 14)",217,1.0
2076,"R(C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), R(S(), P(3, 2), S()))), C(R(C(S(), S()), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), P(3, 3)))), C(S(), C(S(), P(3, 1))), C(S(), Z()), C(S(), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(10, 10, 11, 12, 13, 14, 15, 16, 17, 18)",217,1.0
