,expr,inputs,outputs,len,arity
280,"R(P(3, 1), P(4, 3), C(R(P(3, 3), P(4, 4), P(4, 1), P(4, 1), Z(), Z(), Z()), P(4, 2)), P(4, 2), Z(), C(R(C(S(), S()), P(2, 2), Z()), Z()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 2, 0, 1, 0, 0, 0, 0, 0, 0)",142,1.0
281,"R(C(R(R(S(), P(2, 1), Z()), P(2, 1), Z()), P(2, 1)), P(3, 1), C(C(R(R(S(), P(2, 1), Z()), P(2, 1), Z()), P(2, 1)), P(3, 3), P(3, 1)), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 1, 1, 2, 3, 4, 5, 6, 7)",143,1.0
282,"R(P(2, 1), C(S(), C(S(), P(3, 3))), C(R(C(S(), C(S(), P(3, 3))), P(4, 2), P(4, 1), P(4, 4), Z(), Z(), Z()), C(S(), C(S(), P(3, 3)))), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 2, 4, 4, 4, 4, 4, 4, 4, 4)",143,1.0
283,"R(C(S(), P(3, 3)), P(4, 1), P(4, 1), C(C(C(S(), C(S(), P(3, 3))), Z(), Z(), P(2, 1)), C(S(), P(4, 1)), C(S(), C(S(), P(4, 1)))), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 4, 5, 6, 7, 8, 9, 10, 11, 12)",143,1.0
284,"R(R(C(C(S(), P(2, 2)), S(), R(P(3, 2), P(4, 1), P(4, 2), P(4, 2), Z(), Z(), Z())), C(S(), C(S(), P(2, 2))), Z()), C(S(), C(S(), P(2, 2))), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 3, 7, 11, 15, 19, 23, 27, 31, 35)",143,1.0
285,"R(C(C(S(), P(2, 1)), R(P(3, 3), C(R(R(S(), P(2, 1), Z()), P(2, 2), Z()), P(4, 3)), P(4, 4), P(4, 3), Z(), Z(), C(S(), Z())), S()), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 2, 1, 2, 1, 2, 1, 2, 1, 2)",144,1.0
286,"R(R(P(2, 2), C(P(2, 2), P(3, 1), Z()), P(3, 2), C(C(S(), C(S(), S())), Z()), C(C(S(), C(S(), S())), Z())), P(2, 1), C(C(S(), C(S(), S())), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 3, 3, 0, 0, 0, 0, 0, 0, 0)",144,1.0
287,"C(S(), R(P(3, 3), P(4, 4), P(4, 2), P(4, 3), C(C(R(S(), P(2, 2), Z()), P(2, 2)), Z(), Z()), Z(), C(C(R(S(), P(2, 2), Z()), P(2, 2)), Z(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 1, 2, 2, 1, 2, 2, 1, 2, 2)",144,1.0
288,"R(C(S(), P(3, 1)), P(4, 4), P(4, 1), P(4, 3), Z(), C(R(S(), C(P(2, 2), P(2, 1), Z()), Z()), Z()), C(R(S(), C(P(2, 2), P(2, 1), Z()), Z()), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 2, 2, 1, 2, 3, 4, 5, 6, 7)",144,1.0
289,"C(R(R(P(1, 1), P(2, 1), Z()), P(2, 1), Z()), R(P(3, 2), P(4, 4), P(4, 2), C(C(C(S(), S()), P(3, 2)), P(4, 2), P(4, 3), P(4, 2)), Z(), Z(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 0, 0, 0, 2, 2, 2, 4)",144,1.0
290,"R(R(R(P(1, 1), P(2, 1), C(R(S(), C(P(3, 1), C(S(), Z()), Z(), P(2, 2)), C(S(), Z())), C(S(), Z()))), P(2, 1), C(S(), Z())), P(2, 1), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 0, 2, 0, 1, 2, 3, 4, 5, 6)",145,1.0
291,"C(R(S(), C(C(S(), R(P(3, 1), C(S(), C(S(), P(4, 1))), C(S(), C(S(), P(4, 1))), P(4, 1), Z(), Z(), Z())), P(2, 2)), Z()), R(P(1, 1), P(2, 1), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 2, 4, 6, 8, 10, 12, 14, 16)",146,1.0
292,"R(C(R(R(P(2, 2), P(3, 1), P(3, 2), Z(), C(S(), C(S(), Z()))), P(2, 1), C(S(), C(S(), Z()))), P(2, 1)), P(3, 3), P(3, 1), C(S(), C(S(), Z())), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 2, 0, 0, 1, 2, 3, 4)",146,1.0
293,"R(S(), C(R(R(R(P(2, 2), C(R(R(S(), P(2, 1), Z()), P(2, 2), Z()), P(3, 2)), P(3, 2), Z(), Z()), P(2, 1), Z()), P(2, 1), Z()), C(S(), P(2, 1))), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 1, 1, 2, 2, 2, 2, 2, 2)",147,1.0
294,"C(S(), R(R(R(P(2, 2), C(P(2, 1), Z(), P(3, 2)), P(3, 1), C(R(S(), P(2, 2), Z()), Z()), C(R(S(), P(2, 2), Z()), Z())), P(2, 1), Z()), P(2, 1), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 2, 2, 1, 2, 3, 4, 5, 6, 7)",147,1.0
295,"R(C(R(P(1, 1), P(2, 1), Z()), R(P(3, 2), P(4, 4), C(S(), P(4, 2)), C(S(), P(4, 3)), Z(), Z(), Z())), P(2, 1), C(P(2, 2), C(P(2, 2), Z(), Z()), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 0, 1, 2, 2, 3, 4, 4)",148,1.0
296,"R(P(3, 1), C(C(S(), P(2, 1)), P(4, 3), P(4, 3)), C(C(C(S(), P(2, 1)), S(), R(R(S(), P(2, 1), Z()), P(2, 2), Z())), P(4, 1)), P(4, 1), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 3, 4, 5, 6, 7, 8, 9, 10)",148,1.0
297,"R(C(S(), P(3, 2)), P(4, 1), P(4, 4), C(R(C(C(S(), P(2, 1)), P(2, 2), C(S(), P(2, 1))), P(3, 2), C(S(), P(3, 2)), Z(), Z()), P(4, 3)), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 2, 2, 3, 3, 3, 3, 3, 3)",148,1.0
298,"C(C(C(C(S(), P(3, 3)), Z(), P(3, 1), P(3, 1)), P(2, 2), P(2, 1), P(2, 2)), Z(), R(C(S(), P(3, 3)), P(4, 1), P(4, 4), C(S(), P(4, 3)), Z(), Z(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 3, 3, 4, 4, 5, 5, 6, 6, 7)",149,1.0
299,"C(R(C(C(S(), P(3, 2)), P(3, 3), C(S(), P(3, 2)), P(3, 2)), P(4, 3), P(4, 1), P(4, 2), Z(), Z(), Z()), R(P(2, 2), P(3, 3), C(S(), P(3, 2)), Z(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 2, 2, 3, 3, 4, 4, 5, 5, 6)",149,1.0
300,"R(C(C(S(), S()), P(3, 1)), C(S(), C(R(P(3, 1), C(S(), P(4, 4)), P(4, 2), P(4, 1), Z(), Z(), Z()), P(4, 4))), P(4, 1), C(S(), P(4, 4)), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 3, 4, 4, 5, 6, 7, 8, 9, 10)",149,1.0
301,"R(C(R(R(P(3, 2), P(4, 1), C(S(), P(4, 2)), P(4, 1), Z(), Z(), Z()), P(2, 1), Z()), P(3, 2)), P(4, 4), C(S(), P(4, 2)), C(S(), P(4, 2)), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 1, 1, 1, 1, 2, 2, 3)",150,1.0
302,"R(C(S(), P(3, 2)), C(C(S(), C(P(2, 2), P(2, 2), Z())), P(4, 2), Z()), P(4, 2), P(4, 1), C(C(S(), S()), Z()), C(C(S(), S()), Z()), C(C(S(), S()), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 3, 2, 2, 2, 2, 2, 2, 2, 2)",150,1.0
303,"C(R(R(P(3, 3), C(S(), P(4, 3)), P(4, 3), P(4, 3), Z(), Z(), C(S(), Z())), P(2, 1), C(S(), Z())), R(P(3, 2), P(4, 4), P(4, 2), P(4, 1), Z(), Z(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",150,1.0
304,"R(P(3, 3), C(R(R(P(3, 3), P(4, 1), C(S(), P(4, 2)), C(S(), P(4, 2)), Z(), Z(), Z()), P(2, 1), Z()), P(4, 1)), P(4, 4), C(S(), P(4, 2)), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 1, 1, 2, 2, 3, 4, 5, 6)",150,1.0
305,"R(P(3, 2), C(R(C(S(), R(P(3, 1), C(S(), P(4, 4)), P(4, 1), P(4, 3), Z(), Z(), Z())), P(2, 1), Z()), P(4, 3)), C(S(), P(4, 2)), P(4, 1), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 2, 2, 3, 3, 3, 3, 3, 3)",150,1.0
306,"R(R(C(C(S(), C(S(), P(2, 2))), Z(), R(P(3, 1), P(4, 3), P(4, 1), P(4, 3), Z(), Z(), Z())), C(S(), C(S(), P(2, 2))), Z()), C(S(), C(S(), P(2, 2))), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 4, 8, 12, 16, 20, 24, 28, 32, 36)",151,1.0
307,"R(P(3, 3), P(4, 1), P(4, 2), P(4, 3), C(S(), C(R(S(), P(2, 1), Z()), Z())), C(S(), C(R(S(), P(2, 1), Z()), Z())), C(S(), C(R(S(), P(2, 1), Z()), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 2, 2, 0, 1, 2, 3, 4, 5, 6)",151,1.0
308,"R(C(R(C(S(), S()), P(2, 1), Z()), P(2, 1)), C(R(P(3, 3), P(4, 1), P(4, 2), P(4, 1), Z(), Z(), Z()), P(3, 1)), P(3, 3), C(S(), C(S(), Z())), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 2, 2, 2, 3, 4, 5, 6, 7, 8)",152,1.0
309,"R(C(S(), P(2, 2)), C(R(P(3, 1), C(C(S(), S()), P(4, 2)), P(4, 4), P(4, 3), Z(), Z(), Z()), P(3, 3)), P(3, 2), Z(), C(R(C(S(), S()), P(2, 1), Z()), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 1, 5, 1, 9, 1, 17, 1, 33, 1)",152,1.0
310,"R(R(R(R(P(3, 3), P(4, 3), P(4, 4), C(C(S(), C(S(), P(2, 1))), P(4, 3), Z()), Z(), Z(), Z()), C(S(), C(S(), P(2, 1))), Z()), P(2, 1), Z()), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 2, 4, 4, 6, 6, 8, 8)",152,1.0
311,"R(P(2, 2), P(3, 1), C(R(P(1, 1), P(2, 1), Z()), C(R(P(2, 1), P(3, 3), C(C(S(), P(3, 3)), Z(), P(3, 1), C(S(), P(3, 3))), Z(), Z()), P(3, 2))), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 0, 1, 3, 5, 7, 9, 11)",152,1.0
312,"R(C(C(R(P(2, 2), P(3, 1), C(S(), P(3, 2)), Z(), Z()), P(2, 2)), R(P(1, 1), P(2, 1), Z()), R(P(2, 2), P(3, 3), C(S(), P(3, 2)), Z(), Z())), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 1, 1, 1, 1, 2, 2, 3, 3)",152,1.0
313,"R(C(C(S(), P(2, 1)), C(S(), P(2, 1)), C(S(), Z())), C(C(C(S(), P(2, 1)), C(S(), P(2, 1)), C(S(), Z())), C(S(), Z()), P(3, 2)), P(3, 2), Z(), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 5, 5, 5, 5, 5, 5, 5, 5, 5)",153,1.0
314,"R(R(P(3, 2), P(4, 1), P(4, 4), P(4, 1), C(R(R(S(), P(2, 1), Z()), P(2, 1), Z()), Z()), C(R(R(S(), P(2, 1), Z()), P(2, 1), Z()), Z()), Z()), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 0, 0, 1, 2, 3, 4, 5, 6)",153,1.0
315,"R(P(3, 1), P(4, 3), C(S(), C(S(), P(4, 1))), P(4, 4), C(R(P(2, 1), P(3, 2), P(3, 1), Z(), Z()), Z()), Z(), C(R(P(2, 1), P(3, 2), P(3, 1), Z(), Z()), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 2, 3, 4, 5, 6, 7, 8, 9)",154,1.0
316,"R(P(3, 2), C(S(), C(S(), P(4, 1))), P(4, 4), P(4, 2), C(R(P(2, 1), P(3, 2), P(3, 1), Z(), Z()), Z()), C(R(P(2, 1), P(3, 2), P(3, 1), Z(), Z()), Z()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 2, 3, 4, 5, 6, 7, 8)",154,1.0
317,"R(C(R(C(S(), P(3, 1)), P(4, 3), P(4, 4), C(S(), P(4, 3)), Z(), Z(), Z()), P(2, 1)), P(3, 1), C(C(P(3, 1), Z(), P(2, 2), Z()), P(3, 1), P(3, 3)), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 1, 1, 2, 2, 3, 3, 4, 4)",154,1.0
318,"R(C(S(), P(3, 2)), P(4, 3), P(4, 4), P(4, 2), C(R(S(), C(P(3, 3), Z(), P(2, 1), Z()), Z()), Z()), Z(), C(R(S(), C(P(3, 3), Z(), P(2, 1), Z()), Z()), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 2, 2, 1, 2, 2, 1, 2, 2, 1)",154,1.0
319,"R(P(3, 3), P(4, 4), C(S(), P(4, 2)), P(4, 3), C(R(P(2, 1), P(3, 1), P(3, 3), Z(), Z()), Z()), Z(), C(C(S(), R(P(2, 2), P(3, 1), P(3, 3), Z(), Z())), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 0, 1, 2, 1, 2, 3, 2, 3, 4)",154,1.0
320,"R(R(P(3, 3), C(R(P(2, 2), P(3, 1), P(3, 2), Z(), Z()), P(4, 3)), P(4, 1), C(R(P(2, 2), P(3, 1), P(3, 2), Z(), Z()), P(4, 3)), Z(), Z(), Z()), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 0, 0, 0, 1, 2, 3, 4)",155,1.0
321,"R(C(R(S(), C(R(R(P(1, 1), P(2, 1), Z()), P(2, 1), Z()), P(2, 1)), Z()), C(R(R(P(1, 1), P(2, 1), Z()), P(2, 1), Z()), P(2, 1))), P(3, 1), P(3, 3), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 1, 1, 1, 1, 1, 2, 3, 4)",155,1.0
322,"R(C(S(), P(3, 1)), C(R(P(3, 3), P(4, 1), P(4, 2), P(4, 1), Z(), Z(), Z()), P(4, 4)), C(C(S(), P(3, 1)), P(4, 4), P(4, 2), P(4, 4)), P(4, 3), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 1, 1, 1, 2, 2, 3, 3, 4)",155,1.0
323,"R(R(R(P(3, 3), P(4, 3), C(C(S(), R(S(), P(2, 2), Z())), C(R(P(1, 1), P(2, 1), Z()), P(4, 2))), C(S(), P(4, 2)), Z(), Z(), Z()), P(2, 1), Z()), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 1, 1, 3, 3, 3, 3, 3)",156,1.0
324,"R(R(P(3, 2), P(4, 4), C(C(C(S(), P(2, 1)), C(S(), P(2, 1)), Z()), P(4, 3), P(4, 3)), P(4, 2), Z(), Z(), Z()), C(C(S(), P(2, 1)), C(S(), P(2, 1)), Z()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 4, 6, 8, 10, 12, 14, 16, 18, 20)",156,1.0
325,"R(C(R(P(2, 1), P(3, 3), C(S(), C(S(), P(3, 3))), Z(), Z()), P(3, 3)), P(4, 3), P(4, 4), C(C(S(), P(3, 3)), P(4, 2), P(4, 1), C(S(), P(4, 4))), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 2, 6, 10, 14, 18, 22, 26, 30, 34)",157,1.0
326,"C(R(S(), C(R(P(3, 2), C(S(), P(4, 4)), P(4, 2), P(4, 4), Z(), Z(), Z()), P(2, 1)), Z()), R(P(2, 2), C(R(P(1, 1), P(2, 1), Z()), P(3, 1)), P(3, 2), Z(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 1, 1, 1, 1, 2, 2, 2, 2)",157,1.0
327,"R(R(P(2, 2), C(R(P(2, 1), P(3, 1), P(3, 3), Z(), Z()), P(3, 1)), P(3, 2), C(S(), Z()), C(S(), Z())), C(R(P(2, 1), P(3, 1), P(3, 3), Z(), Z()), P(2, 1)), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 1, 1, 0, 0, 1, 2, 3, 4)",157,1.0
328,"R(C(S(), C(C(C(C(S(), S()), C(S(), S())), C(S(), S())), C(R(C(C(S(), S()), C(S(), S())), P(2, 2), Z()), P(3, 2)))), P(4, 4), P(4, 1), P(4, 3), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(11, 11, 11, 11, 11, 11, 11, 11, 11, 11)",157,1.0
329,"C(S(), R(C(C(S(), S()), P(3, 1)), C(S(), C(R(P(3, 1), C(S(), P(4, 4)), P(4, 2), P(4, 1), Z(), Z(), Z()), P(4, 4))), P(4, 1), C(S(), P(4, 4)), Z(), Z(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 4, 5, 5, 6, 7, 8, 9, 10, 11)",157,1.0
330,"C(C(R(P(2, 1), C(S(), P(3, 3)), P(3, 2), Z(), Z()), P(2, 1)), R(P(2, 1), C(S(), P(3, 3)), P(3, 1), Z(), Z()), R(P(2, 1), C(S(), P(3, 3)), P(3, 1), Z(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 1, 1, 2, 2, 3, 3, 4, 4)",157,1.0
331,"R(P(3, 3), P(4, 3), C(P(3, 1), Z(), P(4, 1), Z()), P(4, 2), C(R(P(2, 2), P(3, 1), P(3, 1), Z(), Z()), C(S(), Z())), C(R(S(), P(2, 1), Z()), Z()), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 0, 1, 0, 0, 0, 0, 0, 0, 0)",158,1.0
332,"R(P(3, 3), C(S(), P(4, 2)), C(S(), P(4, 2)), C(R(C(S(), R(P(3, 1), C(S(), P(4, 4)), P(4, 1), P(4, 3), Z(), Z(), Z())), P(2, 1), Z()), P(4, 3)), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 1, 2, 2, 2, 3, 4, 5, 6)",158,1.0
333,"R(C(C(S(), S()), P(3, 3)), P(4, 2), P(4, 1), P(4, 1), C(R(P(1, 1), P(2, 1), Z()), Z()), Z(), C(R(C(S(), S()), P(2, 2), Z()), C(R(P(1, 1), P(2, 1), Z()), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(4, 2, 3, 4, 5, 6, 7, 8, 9, 10)",159,1.0
334,"C(R(R(P(3, 2), P(4, 1), P(4, 4), C(S(), P(4, 2)), Z(), Z(), Z()), P(2, 1), Z()), R(R(P(3, 2), P(4, 1), P(4, 4), C(S(), P(4, 2)), Z(), Z(), Z()), P(2, 1), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 0, 0, 0, 1, 1, 2, 3)",159,1.0
335,"C(R(R(P(3, 3), P(4, 3), P(4, 4), C(S(), P(4, 3)), Z(), Z(), Z()), P(2, 1), Z()), R(R(P(3, 3), P(4, 3), P(4, 4), C(S(), P(4, 3)), Z(), Z(), Z()), P(2, 1), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 0, 1, 1, 1, 1, 2, 2)",159,1.0
336,"R(C(R(R(P(2, 2), P(3, 2), P(3, 1), Z(), Z()), C(C(C(S(), S()), P(3, 2)), P(2, 2), P(2, 2), P(2, 2)), Z()), P(2, 1)), C(C(S(), S()), P(3, 2)), P(3, 2), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 3, 7, 11, 15, 19, 23, 27, 31, 35)",160,1.0
337,"C(R(P(3, 1), C(S(), C(R(P(3, 2), P(4, 1), P(4, 2), P(4, 4), Z(), Z(), Z()), P(4, 4))), P(4, 2), P(4, 1), Z(), Z(), Z()), R(P(2, 1), P(3, 1), P(3, 3), Z(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 1, 1, 1, 1, 2, 3, 4, 5)",160,1.0
338,"R(R(P(3, 3), P(4, 1), C(S(), P(4, 1)), P(4, 2), Z(), C(P(1, 1), Z()), C(S(), C(S(), C(R(P(2, 2), P(3, 1), P(3, 2), Z(), Z()), Z())))), P(2, 1), C(P(1, 1), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 2, 0, 0, 1, 2, 3, 4, 5, 6)",160,1.0
339,"R(R(R(C(C(S(), P(2, 2)), S(), R(P(3, 2), P(4, 1), P(4, 2), P(4, 2), Z(), Z(), Z())), C(S(), C(S(), P(2, 2))), Z()), C(S(), C(S(), P(2, 2))), Z()), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 3, 7, 11, 15, 19, 23, 27, 31)",160,1.0
340,"C(R(C(S(), S()), P(2, 1), C(C(S(), S()), C(R(S(), P(2, 1), Z()), Z()))), R(R(C(S(), S()), P(2, 1), C(C(S(), S()), C(R(S(), P(2, 1), Z()), Z()))), P(2, 1), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(6, 6, 3, 4, 5, 6, 7, 8, 9, 10)",160,1.0
341,"R(C(S(), P(3, 1)), C(C(S(), P(2, 1)), C(C(S(), P(2, 1)), P(4, 4), P(4, 3)), P(4, 4)), C(R(P(2, 1), P(3, 2), P(3, 2), Z(), Z()), P(4, 3)), P(4, 1), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 3, 3, 4, 5, 6, 7, 8, 9, 10)",161,1.0
342,"R(P(3, 2), P(4, 4), P(4, 2), C(C(R(S(), P(2, 2), Z()), P(2, 2)), P(4, 3), Z()), C(R(R(S(), C(R(S(), P(2, 2), Z()), P(2, 2)), Z()), P(2, 1), Z()), Z()), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 0, 1, 1, 1, 1, 1, 1, 1)",161,1.0
343,"R(R(R(P(3, 1), P(4, 4), P(4, 2), P(4, 2), Z(), C(R(S(), P(2, 2), Z()), Z()), C(R(S(), P(2, 2), Z()), Z())), P(2, 1), Z()), P(2, 1), C(R(S(), P(2, 2), Z()), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 1, 0, 1, 0, 1, 0, 1)",161,1.0
344,"R(P(3, 2), P(4, 4), P(4, 2), C(R(P(2, 1), P(3, 2), P(3, 3), Z(), Z()), P(4, 3)), C(R(C(S(), S()), P(2, 1), Z()), Z()), Z(), C(R(C(S(), S()), P(2, 1), Z()), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 2, 2, 0, 0, 0, 0, 0, 0, 0)",161,1.0
345,"R(P(2, 1), C(C(S(), P(3, 2)), P(3, 3), P(3, 3), Z()), C(S(), P(3, 2)), C(R(C(S(), C(S(), P(3, 2))), P(4, 3), P(4, 4), C(S(), P(4, 2)), Z(), Z(), Z()), Z()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 1, 4, 3, 6, 5, 8, 7, 10, 9)",161,1.0
346,"R(R(R(P(2, 2), C(P(2, 2), P(3, 1), Z()), P(3, 2), C(C(S(), C(S(), S())), Z()), C(C(S(), C(S(), S())), Z())), P(2, 1), C(C(S(), C(S(), S())), Z())), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 3, 3, 0, 0, 0, 0, 0, 0)",161,1.0
347,"R(C(C(S(), P(2, 2)), P(3, 1), C(S(), C(S(), P(3, 1)))), C(S(), P(4, 4)), C(C(S(), P(2, 2)), P(4, 4), P(4, 2)), P(4, 3), Z(), C(R(P(1, 1), P(2, 1), Z()), Z()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 4, 4, 5, 6, 6, 7, 8, 8, 9)",163,1.0
348,"C(C(S(), P(3, 2)), S(), R(C(S(), P(3, 2)), C(C(S(), P(3, 2)), Z(), P(4, 4), Z()), P(4, 2), P(4, 3), Z(), Z(), Z()), R(P(2, 1), P(3, 1), C(S(), P(3, 2)), Z(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 2, 3, 3, 3, 4, 4, 4, 5, 5)",163,1.0
349,"R(C(C(S(), S()), P(2, 1)), P(3, 3), C(R(P(2, 2), P(3, 2), P(3, 2), Z(), Z()), P(3, 2)), C(R(C(S(), S()), P(2, 2), Z()), Z()), C(R(C(S(), S()), P(2, 2), Z()), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(4, 4, 2, 2, 2, 2, 2, 2, 2, 2)",163,1.0
