SPF,valid,size,inputs,outputs
"C(R(C(S(), Z()), P(2, 1)), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 1, 0, 1, 2, 3, 4, 5, 6]"
"C(S(), C(S(), R(Z(), C(S(), C(R(Z(), P(2, 1)), P(2, 2))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
"C(S(), C(S(), R(C(S(), C(S(), C(S(), Z()))), P(2, 1))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
"C(S(), C(S(), R(Z(), C(R(C(S(), Z()), P(2, 1)), P(2, 1)))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 3, 2, 3, 4, 5, 6, 7, 8, 9]"
"C(R(Z(), C(S(), C(R(Z(), P(2, 1)), P(2, 2)))), R(Z(), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
"R(Z(), C(S(), C(R(Z(), P(2, 1)), C(R(Z(), P(2, 1)), P(2, 1)))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 1, 1, 2, 3, 4, 5, 6, 7]"
"R(C(S(), C(S(), C(S(), Z()))), C(R(Z(), P(2, 1)), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 0, 0, 1, 2, 3, 4, 5, 6, 7]"
"C(R(Z(), C(R(C(S(), Z()), P(2, 1)), P(2, 1))), R(Z(), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 1, 0, 1, 2, 3, 4, 5, 6]"
"R(Z(), C(S(), C(S(), C(S(), C(R(Z(), P(2, 1)), P(2, 2))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 3, 5, 7, 9, 11, 13, 15, 17, 19]"
"C(S(), C(R(Z(), C(S(), C(S(), C(S(), P(2, 2))))), S()))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 7, 10, 13, 16, 19, 22, 25, 28, 31]"
"C(R(Z(), P(2, 1)), R(Z(), C(S(), C(S(), C(S(), P(2, 2))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 2, 5, 8, 11, 14, 17, 20, 23, 26]"
"C(S(), R(C(S(), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 2))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 2, 1, 1, 1, 1, 1, 1, 1, 1]"
"C(S(), R(Z(), C(S(), C(R(C(S(), Z()), P(2, 1)), P(2, 2)))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
"C(S(), C(S(), R(Z(), C(S(), C(S(), C(S(), P(2, 1)))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
"R(C(S(), Z()), C(R(Z(), C(S(), C(S(), P(2, 2)))), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 0, 2, 4, 6, 8, 10, 12, 14, 16]"
"R(Z(), C(S(), C(R(C(S(), C(S(), Z())), P(2, 1)), P(2, 1))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 3, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(S(), C(R(Z(), C(R(C(S(), Z()), P(2, 1)), P(2, 2))), S()))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 2, 1, 2, 1, 2, 1, 2, 1]"
"C(S(), C(S(), C(S(), R(C(S(), C(S(), Z())), P(2, 1)))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
"C(R(Z(), C(S(), C(S(), C(S(), P(2, 1))))), R(Z(), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 3, 4, 5, 6, 7, 8, 9, 10]"
"C(S(), C(R(Z(), P(2, 1)), R(Z(), C(S(), C(S(), P(2, 2))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18]"
"C(R(C(S(), Z()), C(R(Z(), P(2, 1)), P(2, 2))), R(Z(), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"C(S(), C(S(), R(Z(), C(S(), C(R(Z(), P(2, 1)), P(2, 1))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 3, 3, 4, 5, 6, 7, 8, 9, 10]"
"C(S(), R(Z(), C(S(), C(S(), C(S(), C(S(), P(2, 2)))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 5, 9, 13, 17, 21, 25, 29, 33, 37]"
