SPF,valid,size,inputs,outputs
"C(S(), R(Z(), C(S(), C(R(C(S(), Z()), P(2, 1)), P(2, 2)))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
"C(S(), C(S(), R(Z(), C(S(), C(S(), C(S(), P(2, 2)))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]"
"C(S(), R(C(S(), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 1, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(R(C(S(), C(S(), C(S(), Z()))), P(2, 1)), R(Z(), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 3, 0, 1, 2, 3, 4, 5, 6, 7]"
"C(S(), C(S(), C(R(C(S(), Z()), P(2, 1)), R(Z(), P(2, 1)))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 3, 2, 3, 4, 5, 6, 7, 8, 9]"
"C(S(), C(R(Z(), P(2, 1)), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 1, 1, 2, 3, 4, 5, 6, 7]"
"C(R(Z(), C(R(C(S(), C(S(), Z())), P(2, 1)), P(2, 2))), S())",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 0, 2, 1, 0, 2, 1, 0, 2]"
"R(Z(), C(S(), C(R(Z(), C(S(), C(S(), P(2, 2)))), P(2, 2))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 3, 7, 15, 31, 63, 127, 255, 511]"
"C(S(), R(Z(), C(S(), C(S(), C(S(), C(S(), P(2, 1)))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
"C(S(), C(S(), C(S(), C(S(), C(S(), C(S(), Z()))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
"C(S(), C(S(), R(C(S(), Z()), C(R(Z(), P(2, 1)), P(2, 2)))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"R(Z(), C(S(), C(S(), C(S(), C(R(Z(), P(2, 1)), P(2, 1))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 3, 3, 4, 5, 6, 7, 8, 9, 10]"
"C(R(Z(), C(S(), C(S(), C(S(), P(2, 1))))), R(Z(), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 3, 4, 5, 6, 7, 8, 9, 10]"
"R(Z(), C(S(), C(S(), C(S(), C(R(Z(), P(2, 1)), P(2, 2))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 3, 5, 7, 9, 11, 13, 15, 17, 19]"
"R(Z(), C(S(), C(R(C(S(), C(S(), Z())), P(2, 1)), P(2, 1))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 3, 1, 2, 3, 4, 5, 6, 7, 8]"
"R(Z(), C(R(Z(), C(S(), C(S(), P(2, 2)))), C(S(), P(2, 2))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 2, 6, 14, 30, 62, 126, 254, 510, 1022]"
"R(Z(), C(S(), C(R(Z(), P(2, 1)), C(R(Z(), P(2, 1)), P(2, 1)))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 1, 1, 2, 3, 4, 5, 6, 7]"
"R(Z(), C(S(), C(S(), C(S(), C(S(), C(S(), P(2, 2)))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 5, 10, 15, 20, 25, 30, 35, 40, 45]"
"C(R(Z(), C(S(), C(S(), C(S(), C(S(), P(2, 2)))))), S())",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 8, 12, 16, 20, 24, 28, 32, 36, 40]"
"C(R(Z(), C(S(), C(S(), C(S(), P(2, 2))))), C(S(), S()))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[6, 9, 12, 15, 18, 21, 24, 27, 30, 33]"
"C(R(Z(), C(R(C(S(), Z()), P(2, 1)), P(2, 1))), R(Z(), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 1, 0, 1, 2, 3, 4, 5, 6]"
"R(Z(), C(R(C(S(), Z()), C(R(Z(), P(2, 1)), P(2, 1))), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 0, 0, 1, 2, 3, 4, 5, 6]"
"C(R(Z(), C(S(), C(S(), C(S(), P(2, 2))))), R(Z(), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 3, 6, 9, 12, 15, 18, 21, 24]"
